fold,target,AUC,AP,LogLoss,pos_valid,n_valid
0,target_1,0.6267563167098836,0.32476048753263254,0.6618282385655215,103,425
0,target_2,0.724578313253012,0.3836005839298169,0.30151057730398817,10,425
0,target_3,0.6443573364305072,0.21320888874408003,0.5954888739004209,56,425
0,target_4,0.733852450833583,0.30302805915517894,0.5612905932871556,54,425
1,target_1,0.6359464838567006,0.4105990194261701,0.6381519862493995,119,423
1,target_2,0.7516746411483254,0.2387873264771337,0.3014853227487863,5,423
1,target_3,0.6505507955936353,0.1592134469435153,0.6110511528436855,43,423
1,target_4,0.7239146078196209,0.36969267960535324,0.49685393683246093,44,423
2,target_1,0.6883365821962313,0.4199317723351787,0.6281808007749707,95,419
2,target_2,0.5932249322493224,0.08187659195114734,0.24995875469120876,9,419
2,target_3,0.6492682926829269,0.17602953885371778,0.6022539333802805,50,419
2,target_4,0.6986147757255937,0.2525856436346734,0.5264446812122187,40,419
3,target_1,0.6789968652037618,0.3861412094330333,0.6156855547352462,116,446
3,target_2,0.8495475113122172,0.6537313432835821,0.265771419356385,4,446
3,target_3,0.6504577389823292,0.2664477334742773,0.6146999295852525,61,446
3,target_4,0.79030350808041,0.43671776577730936,0.5143590116270517,59,446
4,target_1,0.6677283267678038,0.46325480950553743,0.630930105316253,123,414
4,target_2,0.819559902200489,0.3304797210773817,0.2764833554620567,5,414
4,target_3,0.6293974225008707,0.2560686943284673,0.6340433527028544,66,414
4,target_4,0.7476604278074865,0.3279369871166752,0.527521902273249,40,414
