model,fold,users_eval,Hit@1,Hit@3,NDCG@3,NDCG@5
Logistic Regression,0,204,0.49019607843137253,0.9705882352941176,0.7601811134141465,0.7764276964537842
MultinomialNB,0,204,0.47058823529411764,0.946078431372549,0.7390414896385138,0.7671383222513848
Random Forest,0,204,0.4950980392156863,0.9656862745098039,0.7621342364459921,0.7795012567972615
Gradient Boosting,0,204,0.47058823529411764,0.9705882352941176,0.7542848526920423,0.7695407134449124
AdaBoost,0,204,0.47058823529411764,0.9754901960784313,0.7514851946370223,0.765924347372732
Decision Tree,0,204,0.46568627450980393,0.7941176470588235,0.644387938975043,0.7444029770444732
K-Nearest Neighbors,0,204,0.46568627450980393,0.8725490196078431,0.6812980147974236,0.7514178540361849
Support Vector Machine,0,204,0.49019607843137253,0.9754901960784313,0.7716451545307275,0.7847898556851989
LDA,0,204,0.5294117647058824,0.9754901960784313,0.7862796150863255,0.7981298646595586
MLP (Neural Network),0,204,0.45588235294117646,0.8578431372549019,0.6838943651296082,0.7512865220948989
Logistic Regression,1,202,0.48514851485148514,0.9653465346534653,0.7653752406638823,0.781606943778171
MultinomialNB,1,202,0.49504950495049505,0.9702970297029703,0.770208314850586,0.7843079557961947
Random Forest,1,202,0.594059405940594,0.9801980198019802,0.8203773359779101,0.8302128525861583
Gradient Boosting,1,202,0.5643564356435643,0.9801980198019802,0.8072196068590721,0.8170551234673205
AdaBoost,1,202,0.4801980198019802,0.9653465346534653,0.761720947136701,0.7779526502509899
Decision Tree,1,202,0.5643564356435643,0.9108910891089109,0.7565313239898455,0.7985235103114633
K-Nearest Neighbors,1,202,0.5099009900990099,0.8861386138613861,0.7280636251037099,0.7820233902022563
Support Vector Machine,1,202,0.6237623762376238,0.9801980198019802,0.8323854074778828,0.8422209240861313
LDA,1,202,0.5841584158415841,0.9801980198019802,0.8168698516970936,0.8267053683053419
MLP (Neural Network),1,202,0.5,0.8811881188118812,0.7155925752114893,0.7693766031268687
Logistic Regression,2,190,0.42105263157894735,0.9473684210526315,0.7278906579880077,0.7505578452550283
MultinomialNB,2,190,0.43157894736842106,0.9210526315789473,0.7186177132135712,0.7526184941141022
Random Forest,2,190,0.5105263157894737,0.9526315789473684,0.7659405532514046,0.7863410217917233
Gradient Boosting,2,190,0.47368421052631576,0.9578947368421052,0.7542857033641874,0.7724194531778042
AdaBoost,2,190,0.4473684210526316,0.9526315789473684,0.7363665698481846,0.7567670383885031
Decision Tree,2,190,0.5,0.8157894736842105,0.6709566087579545,0.7530714286406593
K-Nearest Neighbors,2,190,0.46842105263157896,0.8421052631578947,0.6832187352624409,0.7539999615116355
Support Vector Machine,2,190,0.5157894736842106,0.9578947368421052,0.7725819190784726,0.7907156688920892
LDA,2,190,0.5263157894736842,0.9526315789473684,0.7751511500925454,0.7955516186328639
MLP (Neural Network),2,190,0.46842105263157896,0.8473684210526315,0.6837830023113126,0.7522975098338052
Logistic Regression,3,230,0.48695652173913045,0.9739130434782609,0.7732580877651803,0.7879374952267374
MultinomialNB,3,230,0.48695652173913045,0.9565217391304348,0.7609922458389163,0.7820135581253471
Random Forest,3,230,0.5521739130434783,0.9956521739130435,0.810062219299257,0.8119347260734893
Gradient Boosting,3,230,0.5043478260869565,0.991304347826087,0.7907548755406975,0.7944998890891618
AdaBoost,3,230,0.45652173913043476,0.9782608695652174,0.7602543876244318,0.7696169214955926
Decision Tree,3,230,0.5043478260869565,0.8478260869565217,0.6922465671406693,0.7612286710549587
K-Nearest Neighbors,3,230,0.5130434782608696,0.8695652173913043,0.7152908078698879,0.7783547447291806
Support Vector Machine,3,230,0.5826086956521739,0.9956521739130435,0.8298851938031605,0.8317577005773927
LDA,3,230,0.5826086956521739,0.9956521739130435,0.8259003752162032,0.8277728819904354
MLP (Neural Network),3,230,0.5304347826086957,0.9347826086956522,0.7606571732445517,0.7944853862183078
Logistic Regression,4,213,0.45539906103286387,0.9859154929577465,0.7682138236057443,0.7742796906208624
MultinomialNB,4,213,0.45539906103286387,0.9624413145539906,0.7490297125055957,0.7689246272112525
Random Forest,4,213,0.6103286384976526,0.9906103286384976,0.8278524956547008,0.8331361634421157
Gradient Boosting,4,213,0.5164319248826291,0.9812206572769953,0.780008696293579,0.789336275424406
AdaBoost,4,213,0.4272300469483568,0.9765258215962441,0.7418634394821957,0.7519732178407262
Decision Tree,4,213,0.49295774647887325,0.8591549295774648,0.6859130745931799,0.7524796313020659
K-Nearest Neighbors,4,213,0.5211267605633803,0.9248826291079812,0.7431569141650163,0.7826558479140201
Support Vector Machine,4,213,0.6056338028169014,0.9906103286384976,0.8293196789873888,0.8333635903308009
LDA,4,213,0.5211267605633803,0.9906103286384976,0.7976550521275153,0.8016989634709275
MLP (Neural Network),4,213,0.4647887323943662,0.8591549295774648,0.684284464691536,0.7533305342884276
