fold,target,AUC,AP,LogLoss,pos_valid,n_valid
0,target_1,0.6541337514321897,0.34062201224035016,0.6707098635040994,103,425
0,target_2,0.7833734939759036,0.39243130398547205,0.5562376151609327,10,425
0,target_3,0.6874758033294618,0.2648378028647819,0.6296699790719394,56,425
0,target_4,0.7379454926624738,0.3183091393710814,0.6190011082067541,54,425
1,target_1,0.6787649270234409,0.45267112714810265,0.6265362247105811,119,423
1,target_2,0.7712918660287081,0.16425398076341471,0.5731848158323786,5,423
1,target_3,0.6909424724602203,0.17124985338264254,0.6586444391125856,43,423
1,target_4,0.7473614775725593,0.39365309542361177,0.5519790054782856,44,423
2,target_1,0.7260883690708252,0.43620122542078854,0.6364783829864616,95,419
2,target_2,0.5962059620596205,0.08578512547068662,0.43134322267715575,9,419
2,target_3,0.6879674796747967,0.19763117674240288,0.6431834779986865,50,419
2,target_4,0.7156992084432718,0.3059728459047243,0.5706621221990619,40,419
3,target_1,0.7192789968652038,0.3931572278078168,0.6263971477575231,116,446
3,target_2,0.9055429864253394,0.7558479532163742,0.5543351338906504,4,446
3,target_3,0.6622099212263147,0.2237499330459411,0.6524532465691032,61,446
3,target_4,0.8051504401524109,0.4860268419460291,0.5585949108599519,59,446
4,target_1,0.6986561618193501,0.44688702864362195,0.638082953903325,123,414
4,target_2,0.8078239608801956,0.3265460809646856,0.5642238692241731,5,414
4,target_3,0.6912225705329154,0.2824603284844637,0.6487482349665138,66,414
4,target_4,0.7788770053475936,0.39035889545301455,0.5727299431412675,40,414
